kunta,hyvinvointialue,oma_uutisvirta,paikallislehti_syotteet,kunnan_uutisvirrat,hyvinvointialueen_uutisvirta,luokitus
Säkylä,Satakunnan hyvinvointialue,kyllä,,Säkylä uutiset (https://www.sakyla.fi/feed/),Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),own-news-flow
Taipalsaari,Etelä-Karjalan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Etelä-Karjalan hyvinvointialue (https://www.ekhva.fi/hyvinvointialue/ajankohtaista/),wellbeing-area-news-only
Taivalkoski,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Taivalkoski uutiset (https://taivalkoski.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Taivassalo,Varsinais-Suomen hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Varsinais-Suomen hyvinvointialue (https://www.varha.fi/fi/ajankohtaista),wellbeing-area-news-only
Tammela,Kanta-Hämeen hyvinvointialue,kyllä,,Tammela uutiset (https://www.tammela.fi/rss.xml),Hyvinvointialueen uutiset: Kanta-Hämeen hyvinvointialue (https://omahame.fi/uutiset),own-news-flow
Tampere,Pirkanmaan hyvinvointialue,kyllä,,"Tampereen uutiset (https://www.tampere.fi/ajankohtaista/uutiset.xml); Tampereen artikkelit (https://www.tampere.fi/ajankohtaista/artikkelit.xml); Tampereen ilmoitukset (https://www.tampere.fi/ajankohtaista/ilmoitukset.xml)",Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),own-news-flow
Tervo,Pohjois-Savon hyvinvointialue,kyllä,Paikallislehti Sisä-Savo (https://www.sisa-savolehti.fi/feed/rss/),,Hyvinvointialueen uutiset: Pohjois-Savon hyvinvointialue (https://pshyvinvointialue.fi/fi/ajankohtaiset),own-news-flow
Tervola,Lapin hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),wellbeing-area-news-only
Teuva,Etelä-Pohjanmaan hyvinvointialue,kyllä,,Teuva uutiset (https://teuva.fi/feed/),Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),own-news-flow
Tohmajärvi,Pohjois-Karjalan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Pohjois-Karjalan hyvinvointialue (https://www.siunsote.fi/ajankohtaista/),wellbeing-area-news-only
