"Päivitetty","Kunta","Varmuus","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Osumat"
"12.5.2026 klo 09.11","heinävesi","ei löytynyt","0","","","https://www.heinavesi.fi/","200",""
"12.5.2026 klo 09.11","helsinki","ei löytynyt","0","","","https://hel.fi","200",""
"12.5.2026 klo 09.11","hirvensalmi","korkea","110","HIRVENSALMI","https://www.hirvensalmi.fi/tapahtuma/aikuisten-liikuntaryhma-12/","https://www.hirvensalmi.fi/","200","liikuntaryhm; jumppa"
"12.5.2026 klo 09.11","hollola","korkea","465","Ohjattu liikunta ja sisäliikunta - Hollola","https://hollola.fi/vapaa-aika/liikunta/sisaliikunta/","https://hollola.fi/","200","ohjattu liikunta; ohjattua liikuntaa; liikuntaryhm; tuolijumppa; vesijumppa; jumppa; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","huittinen","korkea","510","Senioriliikunta","https://www.huittinen.fi/vapaa-aika/liikuntapalvelut/ohjattu-liikunta/senioriliikunta/","https://www.huittinen.fi/","200","ohjattu liikunta; liikuntaryhm; senioriliikunta; tuolijumppa; vesijumppa; jumppa; soveltava liikunta; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","humppila","korkea","310","Ik&auml;ihmisten liikunta","https://www.humppila.fi/vapaa-aika-ja-matkailu/liikunta/ikaihmisten-liikunta/","https://www.humppila.fi/","200","ohjattu liikunta; ikäihmisten liikunta; vesijumppa; jumppa; liikuntaneuvonta; senior"
"12.5.2026 klo 09.11","hyrynsalmi","korkea","335","Liikuntaryhmät","https://hyrynsalmi.fi/kulttuuri-ja-vapaa-aika/liikunta/sisaliikuntapaikat/liikuntaryhmat/","https://www.hyrynsalmi.fi/","200","ohjattua liikuntaa; ohjatut liikuntaryhm; liikuntaryhm; tuolijumppa; jumppa; senior"
"12.5.2026 klo 09.11","hyvinkää","korkea","290","Ohjattu liikunta","https://www.hyvinkaa.fi/kulttuuri-ja-vapaa-aika/liikunta/ohjattu-liikunta/","https://www.hyvinkaa.fi/","200","ohjattu liikunta; liikuntaryhm; erityisliikunta; terveysliikunta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","hämeenkyrö","korkea","385","Ohjattu liikunta","https://hameenkyro.fi/palvelut/kulttuuri-ja-vapaa-aika/liikunta-ja-ulkoilu/ohjattu-liikunta/","https://hameenkyro.fi/","200","ohjattu liikunta; liikuntaryhm; ikääntyneiden liikunta; tuolijumppa; jumppa; liikuntapalvelut; liikunta ja ulkoilu"
"12.5.2026 klo 09.11","hämeenlinna","ei löytynyt","0","","","https://www.hameenlinna.fi/","200",""
